"ID" "Perioden" "PrijsindexBestaandeKoopwoningen_1" "OntwikkelingTOVVoorgaandePeriode_2" "OntwikkelingTOVEenJaarEerder_3" "AantalVerkochteWoningen_4" "OntwikkelingTOVVoorgaandePeriode_5" "OntwikkelingTOVEenJaarEerder_6" "GemiddeldeVerkoopprijs_7" "TotaleWaardeVerkoopprijzen_8" "Perioden_C"
275 "2011KW01" 98.7 -0.5 -1.5 28358 -16.8 2.2 240132 6810 "2011 1e kwartaal"
276 "2011MM04" 98.4 -0.5 -2.4 10068 -3.5 -9 243245 2449 "2011 april"
277 "2011MM05" 98.3 -0.1 -1.8 9915 -1.5 0.2 240276 2382 "2011 mei"
278 "2011MM06" 98.1 -0.2 -1.8 9549 -3.7 -12.6 241662 2308 "2011 juni"
279 "2011KW02" 98.3 -0.4 -2 29532 4.1 -7.4 241736 7139 "2011 2e kwartaal"
280 "2011MM07" 98.2 0.1 -2.3 10433 9.3 -14.8 248424 2592 "2011 juli"
281 "2011MM08" 97.6 -0.6 -3 10009 -4.1 -3.9 241390 2416 "2011 augustus"
282 "2011MM09" 96.8 -0.8 -3.1 10327 3.2 6 246538 2546 "2011 september"
283 "2011KW03" 97.5 -0.8 -2.8 30769 4.2 -5 245503 7554 "2011 3e kwartaal"
284 "2011MM10" 96.6 -0.2 -2.9 9453 -8.5 -5 237499 2245 "2011 oktober"
285 "2011MM11" 96 -0.7 -3.3 9494 0.4 -5.8 232640 2209 "2011 november"
286 "2011MM12" 94.9 -1.1 -4.1 13133 38.3 -6.6 230582 3028 "2011 december"
287 "2011KW04" 95.8 -1.7 -3.4 32080 4.3 -5.9 233229 7482 "2011 4e kwartaal"
288 "2011JJ00" 97.6 -2.4 -2.4 120739 -4.3 -4.3 240059 28984 "2011"
289 "2012MM01" 95.2 0.3 -3.7 7082 -46.1 -15.4 241473 1710 "2012 januari"
290 "2012MM02" 95 -0.2 -3.4 7805 10.2 -18.3 237464 1853 "2012 februari"
291 "2012MM03" 93.7 -1.4 -5.3 9064 16.1 -13.1 230341 2088 "2012 maart"
292 "2012KW01" 94.6 -1.3 -4.1 23951 -25.3 -15.5 235954 5651 "2012 1e kwartaal"
293 "2012MM04" 92.9 -0.8 -5.6 8236 -9.1 -18.2 231130 1904 "2012 april"
294 "2012MM05" 92.3 -0.6 -6.1 10182 23.6 2.7 228010 2322 "2012 mei"
295 "2012MM06" 93.2 1 -5 16210 59.2 69.8 240443 3898 "2012 juni"
296 "2012KW02" 92.8 -1.9 -5.5 34628 44.6 17.3 234572 8123 "2012 2e kwartaal"
297 "2012MM07" 89.6 -3.9 -8.8 7451 -54 -28.6 216721 1615 "2012 juli"
298 "2012MM08" 89.2 -0.4 -8.6 8384 12.5 -16.2 214075 1795 "2012 augustus"
299 "2012MM09" 88.7 -0.6 -8.4 7143 -14.8 -30.8 216849 1549 "2012 september"
300 "2012KW03" 89.1 -3.9 -8.6 22978 -33.6 -25.3 215795 4959 "2012 3e kwartaal"
301 "2012MM10" 88.4 -0.3 -8.5 8507 19.1 -10 214546 1825 "2012 oktober"
302 "2012MM11" 88.9 0.6 -7.3 9833 15.6 3.6 220465 2168 "2012 november"
303 "2012MM12" 88.3 -0.7 -6.9 17364 76.6 32.2 221887 3853 "2012 december"
304 "2012KW04" 88.5 -0.7 -7.6 35704 55.4 11.3 219746 7846 "2012 4e kwartaal"
305 "2012JJ00" 91.3 -6.5 -6.5 117261 -2.9 -2.9 226661 26578 "2012"
306 "2013MM01" 85.8 -2.9 -9.9 6260 -63.9 -11.6 206583 1293 "2013 januari"
307 "2013MM02" 86.8 1.2 -8.6 7897 26.2 1.2 210384 1661 "2013 februari"
308 "2013MM03" 86.9 0.2 -7.2 8933 13.1 -1.4 220430 1969 "2013 maart"
309 "2013KW01" 86.5 -2.3 -8.6 23090 -35.3 -3.6 213240 4924 "2013 1e kwartaal"
310 "2013MM04" 85.7 -1.5 -7.8 6554 -26.6 -20.4 214969 1409 "2013 april"
311 "2013MM05" 84.5 -1.3 -8.4 8333 27.1 -18.2 211869 1766 "2013 mei"
312 "2013MM06" 84 -0.6 -9.8 7224 -13.3 -55.4 206114 1489 "2013 juni"
313 "2013KW02" 84.7 -2 -8.7 22111 -4.2 -36.1 210908 4663 "2013 2e kwartaal"
314 "2013MM07" 85 1.2 -5.1 9659 33.7 29.6 213967 2067 "2013 juli"
315 "2013MM08" 85.2 0.2 -4.5 9977 3.3 19 215092 2146 "2013 augustus"
316 "2013MM09" 85 -0.2 -4.1 9289 -6.9 30 215283 2000 "2013 september"
317 "2013KW03" 85.1 0.4 -4.6 28925 30.8 25.9 214778 6212 "2013 3e kwartaal"
318 "2013MM10" 84.8 -0.2 -4 9929 6.9 16.7 213050 2115 "2013 oktober"
319 "2013MM11" 84.5 -0.4 -5 10576 6.5 7.6 212126 2243 "2013 november"
320 "2013MM12" 85 0.6 -3.8 15463 46.2 -10.9 215388 3331 "2013 december"
321 "2013KW04" 84.8 -0.4 -4.3 35968 24.3 0.7 213784 7689 "2013 4e kwartaal"
322 "2013JJ00" 85.3 -6.6 -6.6 110094 -6.1 -6.1 213353 23489 "2013"
323 "2014MM01" 85.3 0.4 -0.5 8905 -42.4 42.3 219530 1955 "2014 januari"
324 "2014MM02" 85.3 0 -1.7 10030 12.6 27 213822 2145 "2014 februari"
325 "2014MM03" 85.1 -0.3 -2.1 10028 0 12.3 214147 2147 "2014 maart"
326 "2014KW01" 85.2 0.6 -1.5 28963 -19.5 25.4 215689 6247 "2014 1e kwartaal"
327 "2014MM04" 85.7 0.8 0.1 10780 7.5 64.5 220136 2373 "2014 april"
328 "2014MM05" 85.7 -0.1 1.4 11966 11 43.6 219607 2628 "2014 mei"
329 "2014MM06" 85.9 0.3 2.2 11328 -5.3 56.8 222301 2518 "2014 juni"
330 "2014KW02" 85.8 0.6 1.2 34074 17.6 54.1 220670 7519 "2014 2e kwartaal"
331 "2014MM07" 86.6 0.8 1.9 13883 22.6 43.7 226750 3148 "2014 juli"
332 "2014MM08" 86.6 0.1 1.7 12328 -11.2 23.6 225149 2776 "2014 augustus"
333 "2014MM09" 86.5 -0.2 1.7 12949 5 39.4 223567 2895 "2014 september"
334 "2014KW03" 86.6 0.9 1.8 39160 14.9 35.4 225194 8819 "2014 3e kwartaal"
335 "2014MM10" 86.7 0.3 2.2 14353 10.8 44.6 224795 3226 "2014 oktober"
336 "2014MM11" 86.5 -0.3 2.3 11696 -18.5 10.6 220204 2576 "2014 november"
337 "2014MM12" 86.7 0.2 2 25265 116 63.4 226646 5726 "2014 december"
338 "2014KW04" 86.6 0.1 2.2 51314 31 42.7 224660 11528 "2014 4e kwartaal"
339 "2014JJ00" 86.1 0.9 0.9 153511 39.4 39.4 222218 34113 "2014"
