"ID" "Perioden" "PrijsindexBestaandeKoopwoningen_1" "OntwikkelingTOVVoorgaandePeriode_2" "OntwikkelingTOVEenJaarEerder_3" "AantalVerkochteWoningen_4" "OntwikkelingTOVVoorgaandePeriode_5" "OntwikkelingTOVEenJaarEerder_6" "GemiddeldeVerkoopprijs_7" "TotaleWaardeVerkoopprijzen_8" "Perioden_C"
64 "1998MM11" 54.1 0.9 11.6 16189 -1.5 12.3 127574 2065 "1998 november"
65 "1998MM12" 54.2 0.2 11.8 23314 44 5.8 129378 3016 "1998 december"
66 "1998KW04" 54 2.8 11.6 55931 9.3 5.3 128521 7188 "1998 4e kwartaal"
67 "1998JJ00" 51.7 10.9 10.9 192622 3.8 3.8 124540 23989 "1998"
68 "1999MM01" 55.4 2.2 13.2 10756 -53.9 6.7 130266 1401 "1999 januari"
69 "1999MM02" 56 1.2 12.9 13909 29.3 10.1 130784 1819 "1999 februari"
70 "1999MM03" 56.8 1.5 13.8 17558 26.2 14 133544 2345 "1999 maart"
71 "1999KW01" 56.1 3.9 13.3 42223 -24.5 10.7 131800 5565 "1999 1e kwartaal"
72 "1999MM04" 57.6 1.4 14.6 17210 -2 13.6 138285 2380 "1999 april"
73 "1999MM05" 58.6 1.6 15.3 15879 -7.7 -2.6 138572 2200 "1999 mei"
74 "1999MM06" 59.3 1.3 15.8 17122 7.8 7.2 141717 2426 "1999 juni"
75 "1999KW02" 58.5 4.3 15.2 50211 18.9 5.9 139546 7007 "1999 2e kwartaal"
76 "1999MM07" 60.5 2 16.8 20455 19.5 3.9 146087 2988 "1999 juli"
77 "1999MM08" 61.8 2.1 17.7 18760 -8.3 14.1 148966 2795 "1999 augustus"
78 "1999MM09" 62.5 1.2 17.7 16360 -12.8 8.8 151863 2484 "1999 september"
79 "1999KW03" 61.6 5.3 17.4 55575 10.7 8.6 148759 8267 "1999 3e kwartaal"
80 "1999MM10" 63.8 2 19 16691 2 1.6 154989 2587 "1999 oktober"
81 "1999MM11" 64.4 0.9 19 17482 4.7 8 155171 2713 "1999 november"
82 "1999MM12" 64.7 0.5 19.4 22356 27.9 -4.1 155389 3474 "1999 december"
83 "1999KW04" 64.3 4.4 19.1 56529 1.7 1.1 155204 8774 "1999 4e kwartaal"
84 "1999JJ00" 60.1 16.3 16.3 204538 6.2 6.2 144778 29613 "1999"
85 "2000MM01" 66.3 2.5 19.7 10794 -51.7 0.4 157270 1698 "2000 januari"
86 "2000MM02" 67.2 1.5 20.1 13563 25.7 -2.5 158416 2149 "2000 februari"
87 "2000MM03" 68.1 1.3 19.8 15286 12.7 -12.9 161686 2472 "2000 maart"
88 "2000KW01" 67.2 4.5 19.9 39643 -29.9 -6.1 159365 6318 "2000 1e kwartaal"
89 "2000MM04" 68.8 1.1 19.4 13875 -9.2 -19.4 164483 2282 "2000 april"
90 "2000MM05" 69.8 1.4 19.2 18593 34 17.1 168035 3124 "2000 mei"
91 "2000MM06" 70.9 1.6 19.5 14630 -21.3 -14.6 169998 2487 "2000 juni"
92 "2000KW02" 69.8 3.9 19.4 47098 18.8 -6.2 167599 7894 "2000 2e kwartaal"
93 "2000MM07" 71.9 1.5 18.9 17197 17.5 -15.9 174945 3009 "2000 juli"
94 "2000MM08" 72.8 1.2 17.8 16264 -5.4 -13.3 177859 2893 "2000 augustus"
95 "2000MM09" 73.7 1.3 17.9 15333 -5.7 -6.3 179940 2759 "2000 september"
96 "2000KW03" 72.8 4.3 18.2 48794 3.6 -12.2 177486 8660 "2000 3e kwartaal"
97 "2000MM10" 74.2 0.7 16.3 15792 3 -5.4 180317 2848 "2000 oktober"
98 "2000MM11" 74.6 0.5 15.8 15121 -4.2 -13.5 176972 2676 "2000 november"
99 "2000MM12" 74.7 0.2 15.5 22910 51.5 2.5 182625 4184 "2000 december"
100 "2000KW04" 74.5 2.3 15.8 53823 10.3 -4.8 180360 9707 "2000 4e kwartaal"
101 "2000JJ00" 71.1 18.2 18.2 189358 -7.4 -7.4 172050 32579 "2000"
102 "2001MM01" 75.2 0.7 13.4 10341 -54.9 -4.2 177558 1836 "2001 januari"
103 "2001MM02" 76.7 2.1 14.1 12427 20.2 -8.4 182471 2268 "2001 februari"
104 "2001MM03" 76.8 0.1 12.8 14961 20.4 -2.1 180494 2700 "2001 maart"
105 "2001KW01" 76.3 2.4 13.5 37729 -29.9 -4.8 180341 6804 "2001 1e kwartaal"
106 "2001MM04" 77.9 1.4 13.2 14634 -2.2 5.5 185999 2722 "2001 april"
107 "2001MM05" 78.2 0.3 12.1 17049 16.5 -8.3 186441 3179 "2001 mei"
108 "2001MM06" 78.8 0.7 11.1 16508 -3.2 12.8 187336 3093 "2001 juni"
109 "2001KW02" 78.3 2.7 12.1 48191 27.7 2.3 186614 8993 "2001 2e kwartaal"
110 "2001MM07" 79.6 1 10.6 18997 15.1 10.5 190801 3625 "2001 juli"
111 "2001MM08" 80.3 1 10.4 18158 -4.4 11.6 192139 3489 "2001 augustus"
112 "2001MM09" 81 0.9 10 15343 -15.5 0.1 191693 2941 "2001 september"
113 "2001KW03" 80.3 2.6 10.3 52498 8.9 7.6 191524 10055 "2001 3e kwartaal"
114 "2001MM10" 80.7 -0.5 8.7 17835 16.2 12.9 191792 3421 "2001 oktober"
115 "2001MM11" 81.3 0.8 9.1 17309 -2.9 14.5 193508 3349 "2001 november"
116 "2001MM12" 81.1 -0.3 8.5 22175 28.1 -3.2 191854 4254 "2001 december"
117 "2001KW04" 81 0.9 8.8 57319 9.2 6.5 192334 11024 "2001 4e kwartaal"
118 "2001JJ00" 79 11.1 11.1 195737 3.4 3.4 188397 36876 "2001"
119 "2002MM01" 82 1.1 9 11891 -46.4 15 193092 2296 "2002 januari"
120 "2002MM02" 82.5 0.6 7.4 14165 19.1 14 193162 2736 "2002 februari"
121 "2002MM03" 83 0.7 8 18321 29.3 22.5 197257 3614 "2002 maart"
122 "2002KW01" 82.5 1.8 8.2 44377 -22.6 17.6 194834 8646 "2002 1e kwartaal"
123 "2002MM04" 83.2 0.2 6.8 14544 -20.6 -0.6 197440 2872 "2002 april"
124 "2002MM05" 83.8 0.8 7.2 17569 20.8 3.1 199157 3499 "2002 mei"
125 "2002MM06" 83.9 0.1 6.5 15968 -9.1 -3.3 199384 3184 "2002 juni"
126 "2002KW02" 83.6 1.4 6.8 48081 8.3 -0.2 198713 9554 "2002 2e kwartaal"
127 "2002MM07" 84.6 0.8 6.3 19813 24.1 4.3 201666 3996 "2002 juli"
128 "2002MM08" 85.3 0.9 6.2 17150 -13.4 -5.6 204573 3508 "2002 augustus"
129 "2002MM09" 85.3 0 5.2 15634 -8.8 1.9 204417 3196 "2002 september"
130 "2002KW03" 85.1 1.7 5.9 52597 9.4 0.2 203432 10700 "2002 3e kwartaal"
131 "2002MM10" 85.3 0 5.7 16200 3.6 -9.2 201799 3269 "2002 oktober"
132 "2002MM11" 85.1 -0.2 4.6 15815 -2.4 -8.6 200491 3171 "2002 november"
133 "2002MM12" 84.5 -0.7 4.2 21316 34.8 -3.9 201155 4288 "2002 december"
134 "2002KW04" 85 -0.1 4.9 53331 1.4 -7 201154 10728 "2002 4e kwartaal"
135 "2002JJ00" 84 6.4 6.4 198386 1.4 1.4 199752 39628 "2002"
136 "2003MM01" 85.4 1.1 4.2 11832 -44.5 -0.5 201802 2388 "2003 januari"
137 "2003MM02" 85.8 0.4 4.1 13396 13.2 -5.4 200118 2681 "2003 februari"
138 "2003MM03" 85.9 0.1 3.5 14359 7.2 -21.6 199880 2870 "2003 maart"
139 "2003KW01" 85.7 0.9 3.9 39587 -25.8 -10.8 200535 7939 "2003 1e kwartaal"
140 "2003MM04" 86.4 0.6 3.9 15163 5.6 4.3 202536 3071 "2003 april"
141 "2003MM05" 86.6 0.2 3.3 16675 10 -5.1 202497 3377 "2003 mei"
142 "2003MM06" 87 0.4 3.7 14440 -13.4 -9.6 204760 2957 "2003 juni"
143 "2003KW02" 86.7 1.1 3.6 46278 16.9 -3.8 203216 9404 "2003 2e kwartaal"
144 "2003MM07" 87.3 0.4 3.2 17510 21.3 -11.6 204826 3587 "2003 juli"
145 "2003MM08" 87.4 0.1 2.5 16045 -8.4 -6.4 204982 3289 "2003 augustus"
146 "2003MM09" 87.6 0.2 2.7 16810 4.8 7.5 205430 3453 "2003 september"
147 "2003KW03" 87.4 0.9 2.8 50365 8.8 -4.2 205078 10329 "2003 3e kwartaal"
148 "2003MM10" 88.1 0.6 3.3 17357 3.3 7.1 208042 3611 "2003 oktober"
149 "2003MM11" 88.3 0.3 3.8 15168 -12.6 -4.1 205756 3121 "2003 november"
150 "2003MM12" 88.7 0.4 5 24651 62.5 15.6 211410 5211 "2003 december"
151 "2003KW04" 88.4 1.1 4 57176 13.5 7.2 208888 11943 "2003 4e kwartaal"
152 "2003JJ00" 87.1 3.6 3.6 193406 -2.5 -2.5 204829 39615 "2003"
