"ID" "Perioden" "TotaalArbeidsongeschiktheidsuitkeringen_1" "WAOUitkeringen_2" "WajongUitkeringen_3" "WAZUitkeringen_4" "TotaalWIAUitkeringen_5" "IVAUitkeringen_6" "WGAUitkeringen_7" "NietSeizoengecorrigeerd_8" "Seizoengecorrigeerd_9" "TotaalWWBUitkeringen_10" "WWBUitkeringenTotDeAOWLeeftijd_11" "WWBUitkeringenVanafDeAOWLeeftijd_12" "IOAWUitkeringen_13" "IOAZUitkeringen_14" "AOWUitkeringen_15" "AnwUitkeringen_16" "AKWUitkeringen_17" "Perioden_C"
55 "2002MM04" 986.3 798.1 131.5 56.7 NA NA NA 178.1 175.9 340.3 319.8 20.5 18.9 3.1 NA NA NA "2002 april"
56 "2002MM05" 988.7 799.5 131.8 57.4 NA NA NA 178.2 180 339.8 319.2 20.6 18.8 3 NA NA NA "2002 mei"
57 "2002MM06" 987.6 798.8 132 56.8 NA NA NA 179.4 184.9 338.9 318.3 20.6 18.7 3 2381.4 160.2 1886.4 "2002 juni"
58 "2002MM07" 988.3 798.9 132.5 56.9 NA NA NA 179.1 184.6 338.7 317.8 21 19 3 NA NA NA "2002 juli"
59 "2002MM08" 988.4 798.8 132.9 56.8 NA NA NA 182.2 187.6 338.4 317.4 21 18.9 3 NA NA NA "2002 augustus"
60 "2002MM09" 988.2 798.4 133 56.7 NA NA NA 183.7 191.5 338.3 317.2 21.1 18.8 2.9 2392.7 159 1898.1 "2002 september"
61 "2002MM10" 990.2 799.9 133.6 56.7 NA NA NA 187.1 195.5 338.9 317.6 21.2 18.7 2.9 NA NA NA "2002 oktober"
62 "2002MM11" 991.7 800.9 134 56.9 NA NA NA 197.8 201.6 339.8 318.4 21.4 18.5 2.9 NA NA NA "2002 november"
63 "2002MM12" 992.8 801.5 134.2 57.1 NA NA NA 204 203.5 341.5 320.1 21.4 18.4 2.8 2402 157.8 1890.2 "2002 december"
64 "2002JJ00" 987.2 798.2 132.2 56.8 NA NA NA 182.3 NA 339.9 319.2 20.8 18.8 3 2382.6 160.4 1888.1 "2002"
65 "2003MM01" 992.9 801.7 134.5 56.8 NA NA NA 221.3 209.1 343.3 321.8 21.5 18.3 2.8 NA NA NA "2003 januari"
66 "2003MM02" 992.5 800.9 134.8 56.8 NA NA NA 232.5 217.1 344.8 323.2 21.6 18.1 2.8 NA NA NA "2003 februari"
67 "2003MM03" 991.8 799.9 135.1 56.8 NA NA NA 237.6 227.6 346.7 325 21.7 17.9 2.8 2409.5 156.3 1903 "2003 maart"
68 "2003MM04" 990 797.9 135.4 56.7 NA NA NA 241.1 237.2 347.7 325.8 21.9 17.7 2.7 NA NA NA "2003 april"
69 "2003MM05" 989 796.3 135.7 57 NA NA NA 244.4 245.6 348.8 326.9 22 17.5 2.7 NA NA NA "2003 mei"
70 "2003MM06" 989 795.9 136 57.2 NA NA NA 247.2 253.2 349.4 327.4 22 17.3 2.7 2421.3 154.6 1911.5 "2003 juni"
71 "2003MM07" 987.1 793.5 136.4 57.2 NA NA NA 254.3 260.5 350.6 328.2 22.4 17 2.7 NA NA NA "2003 juli"
72 "2003MM08" 986.4 792.2 136.7 57.5 NA NA NA 259 266.1 351.3 328.9 22.4 16.8 2.6 NA NA NA "2003 augustus"
73 "2003MM09" 984.6 790.5 137 57.2 NA NA NA 262.2 273 352.8 330.3 22.5 16.7 2.6 2435.3 152.9 1919.5 "2003 september"
74 "2003MM10" 983.2 789.1 137.2 56.9 NA NA NA 268.9 280.8 355 332.3 22.7 16.5 2.6 NA NA NA "2003 oktober"
75 "2003MM11" 982.4 788.2 137.5 56.6 NA NA NA 278 284.4 356.4 333.6 22.9 16.4 2.6 NA NA NA "2003 november"
76 "2003MM12" 981.7 787.1 138 56.6 NA NA NA 286.6 288.5 358.7 335.7 23 16.2 2.5 2446.5 151.3 1910.9 "2003 december"
77 "2003JJ00" 988 795 136 57 NA NA NA 249.3 NA 349.7 327.6 22.1 17.3 2.7 2422.6 154.6 1911.2 "2003"
78 "2004MM01" 974.7 780.7 138.1 55.9 NA NA NA 299.8 284.8 359.9 336.8 23.1 16 2.5 NA NA NA "2004 januari"
79 "2004MM02" 972.9 778.9 138.3 55.7 NA NA NA 308.1 288.9 361.2 338 23.2 15.8 2.5 NA NA NA "2004 februari"
80 "2004MM03" 972 777.6 138.9 55.6 NA NA NA 311.4 299.6 362.3 339.1 23.3 15.6 2.5 2453.9 149.9 1921.2 "2004 maart"
81 "2004MM04" 970.1 775.5 139.2 55.4 NA NA NA 313.5 307.8 363 339.6 23.4 15.4 2.5 NA NA NA "2004 april"
82 "2004MM05" 969.4 774.1 139.6 55.6 NA NA NA 311 311.4 362.6 339.2 23.4 15.1 2.4 NA NA NA "2004 mei"
83 "2004MM06" 968.2 772.8 140 55.4 NA NA NA 314.9 322 361.7 338.3 23.4 14.9 2.4 2467.5 148.4 1926.4 "2004 juni"
84 "2004MM07" 966.8 771 140.4 55.4 NA NA NA 310.9 317.8 360.9 337.2 23.7 14.6 2.4 NA NA NA "2004 juli"
85 "2004MM08" 965.4 769.2 141 55.2 NA NA NA 310.7 319.1 359.9 336.2 23.7 14.4 2.4 NA NA NA "2004 augustus"
86 "2004MM09" 964.3 767.7 141.5 55.1 NA NA NA 310.4 322.3 359.6 335.8 23.9 14.1 2.4 2484.1 146.6 1931.2 "2004 september"
87 "2004MM10" 962.4 765.6 141.7 55.1 NA NA NA 310.6 323.1 360.1 336 24.1 13.9 2.4 NA 146.2 NA "2004 oktober"
88 "2004MM11" 961 763.7 142 55.3 NA NA NA 314.8 322.8 361.7 337.4 24.3 13.7 2.3 NA 145.7 NA "2004 november"
89 "2004MM12" 960.6 762.7 142.4 55.5 NA NA NA 323.4 325 362.9 338.6 24.4 13.6 2.3 2498.8 145 1919.9 "2004 december"
90 "2004JJ00" 968.2 772.6 140.1 55.5 NA NA NA 310.1 NA 361.1 337.6 23.6 14.9 2.4 2469.5 147.5 1923.6 "2004"
91 "2005MM01" 958.3 760.3 142.7 55.3 NA NA NA 335 323.2 365 339.6 25.4 13.3 2.3 NA 144.7 NA "2005 januari"
92 "2005MM02" 956.5 758 143.3 55.2 NA NA NA 341.6 318.8 366.4 340.8 25.6 13.2 2.3 NA 144.3 NA "2005 februari"
93 "2005MM03" 950.4 751.9 143.5 54.9 NA NA NA 340.8 328.2 366.4 340.7 25.7 13 2.3 2507.8 143.7 1928.1 "2005 maart"
94 "2005MM04" 943.5 745.1 143.7 54.7 NA NA NA 336.3 329.2 365.2 339.3 25.9 12.8 2.3 NA 143.1 NA "2005 april"
95 "2005MM05" 937.7 739.3 144 54.5 NA NA NA 325.5 326.5 364.5 338.6 26 12.5 2.3 NA 142.4 NA "2005 mei"
96 "2005MM06" 934.5 734.8 144.4 55.3 NA NA NA 323.7 330.1 362.9 337 26 12.3 2.2 2519.5 141.9 1932.3 "2005 juni"
97 "2005MM07" 929.1 729.2 144.9 55 NA NA NA 317.5 323.8 362.4 335.9 26.5 12 2.2 NA 141 NA "2005 juli"
98 "2005MM08" 921.8 722.6 145.4 53.8 NA NA NA 313.9 321.8 359.9 333.3 26.6 11.8 2.2 NA 140.4 NA "2005 augustus"
99 "2005MM09" 917.9 718.8 145.7 53.4 NA NA NA 308.6 319.6 357.7 331 26.7 11.6 2.2 2540.1 139.6 1935.8 "2005 september"
100 "2005MM10" 912.5 713.4 146.1 53 NA NA NA 303.7 315.5 356.2 329.5 26.8 11.4 2.2 NA 139.1 NA "2005 oktober"
101 "2005MM11" 905.1 705.7 146.7 52.7 NA NA NA 303.1 310.7 355.2 328.3 26.9 11.2 2.2 NA 138.7 NA "2005 november"
102 "2005MM12" 899.3 700 147 52.3 NA NA NA 305.1 306.5 355 328 27 11 2.1 2553.5 137.8 1923.2 "2005 december"
103 "2005JJ00" 933.1 734.2 144.6 54.3 NA NA NA 322 NA 361.7 335.6 26.1 12.3 2.2 2523.4 141.7 1929.4 "2005"
104 "2006MM01" 894.5 693.7 147.9 51.8 1.2 0.2 1 304 295.1 353.8 326.7 27.1 10.5 2.1 NA 137.7 NA "2006 januari"
105 "2006MM02" 892.2 689.9 148.5 51.5 2.4 0.4 2 307.1 288 352.8 325.6 27.2 10 2.1 NA 137 NA "2006 februari"
106 "2006MM03" 889.1 685.1 149 51.1 3.9 0.7 3.2 304.3 293.9 352.6 325.3 27.4 9.2 2 2561.5 136.4 1931.3 "2006 maart"
107 "2006MM04" 885.7 679.7 149.7 50.6 5.7 1 4.7 294.7 289.3 351.6 324.1 27.5 8.8 2 NA 135.9 NA "2006 april"
108 "2006MM05" 881.6 674.2 150.3 50.1 7.1 1.2 5.9 286.9 287.4 350 322.5 27.6 8.4 2 NA 135.1 NA "2006 mei"
109 "2006MM06" 877.8 668.7 150.9 49.5 8.7 1.6 7.1 279 282.6 348.3 320.6 27.7 8.2 1.9 2576.3 134.4 1934.6 "2006 juni"
