"ID" "Perioden" "TotaalArbeidsongeschiktheidsuitkeringen_1" "WAOUitkeringen_2" "WajongUitkeringen_3" "WAZUitkeringen_4" "TotaalWIAUitkeringen_5" "IVAUitkeringen_6" "WGAUitkeringen_7" "NietSeizoengecorrigeerd_8" "Seizoengecorrigeerd_9" "TotaalWWBUitkeringen_10" "WWBUitkeringenTotDeAOWLeeftijd_11" "WWBUitkeringenVanafDeAOWLeeftijd_12" "IOAWUitkeringen_13" "IOAZUitkeringen_14" "AOWUitkeringen_15" "AnwUitkeringen_16" "AKWUitkeringen_17" "Perioden_C"
160 "2010MM05" 828.1 504.8 196.9 32.4 94 23.3 70.7 267.6 268.3 334.8 297.8 37 8.9 1.5 2847.3 102.9 NA "2010 mei"
161 "2010MM06" 827.6 501.7 198.1 32 95.9 23.9 71.9 261.4 264.7 337.4 300.2 37.2 9 1.4 2852.2 102.4 1940.9 "2010 juni"
162 "2010MM07" 828.2 498.8 199.5 31.7 98.2 24.7 73.5 260.5 264.1 339.3 301.7 37.6 9.2 1.5 2859.5 101.7 NA "2010 juli"
163 "2010MM08" 828.2 496.2 200.2 31.4 100.3 25.3 75 260.7 264.5 340.2 302.4 37.8 9.3 1.5 2866 100.9 NA "2010 augustus"
164 "2010MM09" 828.7 493.9 201 31.2 102.6 25.9 76.7 254.2 262.2 339.5 301.7 37.8 9.4 1.4 2870.5 100.4 1941.7 "2010 september"
165 "2010MM10" 830.5 491.7 202.4 30.9 105.5 26.8 78.8 250.5 258.6 340.6 302.6 38 9.5 1.4 2874.4 99.9 NA "2010 oktober"
166 "2010MM11" 831 488.9 203.7 30.7 107.8 27.4 80.4 253.4 259.4 342.4 304.2 38.1 9.5 1.4 2877.3 99.3 NA "2010 november"
167 "2010MM12" 831.9 486.3 205.1 30.4 110.1 28.2 81.9 263.7 262.7 345.2 307 38.3 9.6 1.4 2881.3 98.4 1932.1 "2010 december"
168 "2010JJ00" 829.7 503 198.2 32.2 96.3 24.1 72.3 267 NA 334.2 297.1 37.2 9 1.4 2850.5 102.5 1938.3 "2010"
169 "2011MM01" 832.2 483.2 206.3 30.1 112.7 28.9 83.8 276.2 264.9 350.9 312.4 38.5 9.7 1.5 2885.7 98 NA "2011 januari"
170 "2011MM02" 831.9 479.7 207.3 29.7 115.2 29.6 85.6 273.8 260.5 353.6 314.9 38.7 9.8 1.5 2893.2 97.5 NA "2011 februari"
171 "2011MM03" 830.6 475.8 208.2 29.2 117.3 30.3 87 265.9 256.4 356.2 317.2 38.9 9.8 1.5 2907.2 96.5 1938.4 "2011 maart"
172 "2011MM04" 829.7 472.1 209.2 28.8 119.7 31 88.7 258.4 254.7 356.7 317.6 39.1 9.8 1.4 2920.9 95.4 NA "2011 april"
173 "2011MM05" 828.8 468.1 210.1 28.4 122.2 31.7 90.5 253.5 254.8 356.8 317.5 39.3 9.8 1.4 2934.7 94.1 NA "2011 mei"
174 "2011MM06" 826.7 463.9 210.9 28 123.9 32.2 91.7 250.7 255.3 356.4 316.9 39.5 9.7 1.4 2947 93 1941.8 "2011 juni"
175 "2011MM07" 825.8 460 212 27.6 126.2 32.8 93.4 252.8 256.8 356.1 316.1 40 9.7 1.4 2962.6 91.8 NA "2011 juli"
176 "2011MM08" 825.4 456.7 212.9 27.3 128.6 33.4 95.2 255.3 258.7 355.1 315 40.1 9.7 1.4 2974.9 90.8 NA "2011 augustus"
177 "2011MM09" 825 453.3 213.7 26.9 131.1 34 97.1 251.2 259.8 354.5 314.3 40.2 9.8 1.4 2986.1 89.8 1944.1 "2011 september"
178 "2011MM10" 825.6 450.3 214.7 26.6 133.9 34.7 99.2 252.5 261.7 355 314.6 40.3 9.7 1.4 2997.4 88.9 NA "2011 oktober"
179 "2011MM11" 824.6 447.2 215.3 26.3 135.8 35.3 100.5 257.8 264.7 356.7 316.3 40.4 9.8 1.4 3006.3 88 NA "2011 november"
180 "2011MM12" 824.5 443.9 216.2 26 138.3 36 102.4 269.9 269.1 359.1 318.6 40.5 9.8 1.4 3017 86.7 1933.9 "2011 december"
181 "2011JJ00" 827.9 464.6 210.9 28.1 124.2 32.2 92.1 259.6 NA 355 315.5 39.5 9.7 1.4 2947.1 93 1939.3 "2011"
182 "2012MM01" 822.6 438.9 217.2 25.5 141 36.7 104.3 291.6 279 358 318.5 39.5 9.9 1.4 3026.2 86 NA "2012 januari"
183 "2012MM02" 822 435.5 218.1 25.2 143.2 37.4 105.9 298.9 283.4 359 319.4 39.6 10 1.4 3034.1 85.2 NA "2012 februari"
184 "2012MM03" 821.2 432.1 219 24.9 145.2 38 107.3 295.6 285.5 359.2 319.5 39.7 10 1.4 3044.9 84.2 1937.1 "2012 maart"
185 "2012MM04" 820.4 428.5 222 24.5 147.3 38.7 108.6 292.1 288.2 359.5 319.8 39.8 10.2 1.4 3054.5 83.3 NA "2012 april"
186 "2012MM05" 819.4 425.3 220.9 24.2 149 39.3 109.7 290.9 292.1 360.5 320.7 39.8 10.3 1.4 3066.7 82.2 NA "2012 mei"
187 "2012MM06" 819.7 425.1 221 24.2 149.4 39.5 109.9 290.6 295.6 361 321.3 39.8 10.4 1.4 3075.6 81.1 1938.6 "2012 juni"
188 "2012MM07" 818.2 421.3 221.9 23.9 151 40 111 298 302.4 361.6 321.5 40 10.5 1.4 3087.7 80 NA "2012 juli"
189 "2012MM08" 817.7 418.1 223 23.6 153 40.6 112.4 304 308.5 361.8 322.1 39.7 10.6 1.4 3098.5 79.1 NA "2012 augustus"
190 "2012MM09" 817.5 415.1 223.8 23.3 155.2 41.2 114.1 304.3 314.1 362.3 322.7 39.6 10.8 1.4 3107.7 78.2 1938.9 "2012 september"
191 "2012MM10" 817.7 412.1 224.9 23 157.8 41.8 115.9 309.8 319.8 364.1 324.3 39.8 11 1.4 3117.3 77.2 NA "2012 oktober"
192 "2012MM11" 817.5 409.1 225.7 22.8 160 42.5 117.5 322.3 329.7 367.2 327.2 40 11.2 1.4 3125.4 76.4 NA "2012 november"
193 "2012MM12" 816.9 406.2 226.5 22.5 161.7 42.9 118.8 340.2 339.7 370.2 330.2 40 11.4 1.4 3135.9 75 1928.2 "2012 december"
194 "2012JJ00" 819.6 423.8 221.6 24.1 150.2 39.6 110.6 300.3 NA 361.6 321.8 39.8 10.5 1.4 3076.2 81.2 1936.4 "2012"
195 "2013MM01" 820.3 405.6 227.7 22.5 164.6 43.8 120.7 369.3 353.9 374.4 335.6 38.8 11.7 1.5 3124 75.2 NA "2013 januari*"
196 "2013MM02" 819.7 402.4 228.6 22.2 166.6 44.4 122.2 376.7 360 378.7 339.6 39 11.9 1.5 3131.4 74.3 NA "2013 februari*"
197 "2013MM03" 819.4 399.3 229.5 21.9 168.7 45.1 123.6 379.7 368.5 382.2 343.4 38.8 12.2 1.5 3139.1 73.3 1931.5 "2013 maart*"
198 "2013MM04" 818.6 396 230.4 21.6 170.6 45.8 124.8 379.5 375.8 385.7 346.8 38.9 12.4 1.5 3147.5 72.5 NA "2013 april*"
199 "2013MM05" 818.2 392.9 231.4 21.4 172.5 46.5 126.1 377.8 380.5 388.1 348.9 39.1 12.6 1.5 3157.2 71.6 NA "2013 mei*"
200 "2013MM06" 817.6 389.8 232.6 21.1 174.1 47.1 127.1 381.6 387.9 388.7 349.6 39.1 12.8 1.5 3166.5 70.7 1932.4 "2013 juni*"
201 "2013MM07" 817.3 386.9 233.7 20.8 175.9 47.8 128.2 394.6 399.8 389.9 350.7 39.2 13 1.5 3175.9 69.6 NA "2013 juli*"
202 "2013MM08" 816.7 383.6 234.7 20.5 177.8 48.3 129.5 399.3 404.4 389.4 350.2 39.3 13.3 1.5 3187.5 68.4 NA "2013 augustus*"
203 "2013MM09" 817 380.9 235.7 20.3 180.2 49 131.1 400.4 411 389.6 350.4 39.3 13.4 1.6 3197.1 67.4 1932.7 "2013 september*"
204 "2013MM10" 817.6 378.1 236.9 20 182.5 49.8 132.7 408.2 419 392.1 352.4 39.7 13.6 1.6 3206 57.2 NA "2013 oktober*"
205 "2013MM11" 817.8 375.5 237.9 19.8 184.6 50.9 133.7 419.1 426.2 395.1 355.2 39.9 13.8 1.5 3214.5 56.3 NA "2013 november*"
206 "2013MM12" 817.8 373.1 238.7 19.6 186.4 51.5 134.9 437.7 436.2 398.8 358.8 40 14.1 1.6 3222.6 55.2 1919.4 "2013 december*"
207 "2013JJ00" 818.1 390.1 232.6 21.1 174.4 47.1 127.2 389.6 NA 386.5 347.3 39.3 12.8 1.5 3168.8 68.5 1930.1 "2013*"
208 "2014MM01" 820.9 372.6 239.9 19.5 188.9 52.7 136.1 460.5 445.1 403 363.2 39.8 14.4 1.6 3212.1 52.3 NA "2014 januari*"
209 "2014MM02" 820.7 370 240.7 19.3 190.7 53.5 137.2 460.1 442.5 406.6 366.5 40 14.7 1.6 3218.9 51.4 NA "2014 februari*"
210 "2014MM03" 820.6 367 241.8 19.1 192.8 54.4 138.4 453.8 441.8 409.8 369.5 40.3 15.1 1.7 3228.4 50.4 1921.5 "2014 maart*"
211 "2014MM04" 820.8 364.5 242.6 18.9 194.8 55.4 139.4 443.3 439 412.7 372.2 40.4 15.3 1.7 3235.9 49.5 NA "2014 april*"
212 "2014MM05" 820.4 361.6 243.7 18.6 196.4 56.1 140.3 435.5 438.5 414 373.5 40.5 15.5 1.7 3246.3 48.5 NA "2014 mei*"
213 "2014MM06" 820.2 358.9 244.7 18.4 198.2 56.9 141.3 430.6 438.1 414.2 373.7 40.6 15.8 1.7 3255.1 47.7 1923.8 "2014 juni*"
214 "2014MM07" 819.8 356.1 245.6 18.2 199.9 57.7 142.2 437 442.7 414.8 374.2 40.6 15.9 1.7 3264.4 46.9 NA "2014 juli*"
215 "2014MM08" 819.6 353.5 246.5 17.9 201.6 58.3 143.3 430.4 436 417.5 377 40.5 16 1.7 3272.8 46 NA "2014 augustus*"
216 "2014MM09" 819.6 350.6 247.5 17.7 203.8 59 144.7 419.9 431.4 414.5 374 40.5 16.4 1.6 3281.4 44.9 1920.7 "2014 september*"
217 "2014MM10" 819.8 347.8 248.5 17.5 206 59.9 146 419.4 431.5 414 374 40 16.6 1.7 3290.7 44.1 NA "2014 oktober*"
218 "2014MM11" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3297.7 43.2 NA "2014 november*"
